PUNTO,ESTE,NORTE,h
522,385751.6394,8303370.678,3831
523,386251.6394,8303370.678,3832
524,386751.6394,8303370.678,3830
525,387251.6394,8303370.678,3831
526,387751.6394,8303370.678,3830
527,388251.6394,8303370.678,3829
528,388751.6394,8303370.678,3831
529,389251.6394,8303370.678,3831
530,389751.6394,8303370.678,3838
531,390251.6394,8303370.678,3893
532,390751.6394,8303370.678,3909
533,391251.6394,8303370.678,3867
534,391751.6394,8303370.678,3878
535,392251.6394,8303370.678,3881
536,392751.6394,8303370.678,3914
537,393251.6394,8303370.678,4012
538,393751.6394,8303370.678,4080
539,394251.6394,8303370.678,4037
540,394751.6394,8303370.678,3962
541,395251.6394,8303370.678,3894
542,395751.6394,8303370.678,3834
543,396251.6394,8303370.678,3827
544,396751.6394,8303370.678,3819
545,397251.6394,8303370.678,3819
546,397751.6394,8303370.678,3821
547,398251.6394,8303370.678,3819
548,398751.6394,8303370.678,3820
549,399251.6394,8303370.678,3819
550,399751.6394,8303370.678,3821
551,400251.6394,8303370.678,3819
552,400751.6394,8303370.678,3821
553,401251.6394,8303370.678,3819
554,362251.6394,8302870.678,4190
555,362751.6394,8302870.678,4237
556,363251.6394,8302870.678,4260
557,363751.6394,8302870.678,4214
558,364251.6394,8302870.678,4150
559,364751.6394,8302870.678,4085
560,365251.6394,8302870.678,4049
561,365751.6394,8302870.678,4001
562,366251.6394,8302870.678,4000
563,366751.6394,8302870.678,4064
564,367251.6394,8302870.678,4168
565,367751.6394,8302870.678,4271
566,368251.6394,8302870.678,4255
567,368751.6394,8302870.678,4286
568,369251.6394,8302870.678,4209
569,369751.6394,8302870.678,4226
570,370251.6394,8302870.678,4017
571,370751.6394,8302870.678,3915
572,371251.6394,8302870.678,3871
573,371751.6394,8302870.678,3910
574,372251.6394,8302870.678,3957
575,372751.6394,8302870.678,3838
576,373251.6394,8302870.678,3834
577,373751.6394,8302870.678,3838
578,374251.6394,8302870.678,3842
579,374751.6394,8302870.678,3837
580,375251.6394,8302870.678,3837
581,375751.6394,8302870.678,3836
582,376251.6394,8302870.678,3838
583,376751.6394,8302870.678,3837
584,377251.6394,8302870.678,3834
585,377751.6394,8302870.678,3834
586,378251.6394,8302870.678,3836
587,378751.6394,8302870.678,3834
588,379251.6394,8302870.678,3834
589,379751.6394,8302870.678,3833
590,380251.6394,8302870.678,3835
591,380751.6394,8302870.678,3836
592,381251.6394,8302870.678,3837
593,381751.6394,8302870.678,3836
594,382251.6394,8302870.678,3836
595,382751.6394,8302870.678,3837
596,383251.6394,8302870.678,3835
597,383751.6394,8302870.678,3833
598,384251.6394,8302870.678,3833
599,384751.6394,8302870.678,3835
600,385251.6394,8302870.678,3836
601,385751.6394,8302870.678,3832
602,386251.6394,8302870.678,3835
603,386751.6394,8302870.678,3832
604,387251.6394,8302870.678,3828
605,387751.6394,8302870.678,3829
606,388251.6394,8302870.678,3826
607,388751.6394,8302870.678,3827
608,389251.6394,8302870.678,3833
609,389751.6394,8302870.678,3832
610,390251.6394,8302870.678,3911
611,390751.6394,8302870.678,3915
612,391251.6394,8302870.678,3886
613,391751.6394,8302870.678,3900
614,392251.6394,8302870.678,3898
615,392751.6394,8302870.678,3967
616,393251.6394,8302870.678,3968
617,393751.6394,8302870.678,4142
618,394251.6394,8302870.678,4057
619,394751.6394,8302870.678,3923
620,395251.6394,8302870.678,3899
621,395751.6394,8302870.678,3847
622,396251.6394,8302870.678,3832
623,396751.6394,8302870.678,3824
624,397251.6394,8302870.678,3823
625,397751.6394,8302870.678,3818
626,398251.6394,8302870.678,3820
627,398751.6394,8302870.678,3818
628,399251.6394,8302870.678,3820
629,399751.6394,8302870.678,3821
630,400251.6394,8302870.678,3817
631,400751.6394,8302870.678,3819
632,401251.6394,8302870.678,3820
633,362251.6394,8302370.678,4151
634,362751.6394,8302370.678,4102
635,363251.6394,8302370.678,4121
636,363751.6394,8302370.678,4191
637,364251.6394,8302370.678,4231
638,364751.6394,8302370.678,4153
639,365251.6394,8302370.678,4074
640,365751.6394,8302370.678,4015
641,366251.6394,8302370.678,3943
642,366751.6394,8302370.678,3965
643,367251.6394,8302370.678,4009
644,367751.6394,8302370.678,4092
645,368251.6394,8302370.678,4132
646,368751.6394,8302370.678,4354
647,369251.6394,8302370.678,4350
648,369751.6394,8302370.678,4353
649,370251.6394,8302370.678,4205
650,370751.6394,8302370.678,3982
651,371251.6394,8302370.678,3996
652,371751.6394,8302370.678,3908
653,372251.6394,8302370.678,3882
654,372751.6394,8302370.678,3838
655,373251.6394,8302370.678,3838
656,373751.6394,8302370.678,3837
657,374251.6394,8302370.678,3840
658,374751.6394,8302370.678,3839
659,375251.6394,8302370.678,3838
660,375751.6394,8302370.678,3836
661,376251.6394,8302370.678,3838
662,376751.6394,8302370.678,3838
663,377251.6394,8302370.678,3836
664,377751.6394,8302370.678,3835
665,378251.6394,8302370.678,3835
666,378751.6394,8302370.678,3835
667,379251.6394,8302370.678,3830
668,379751.6394,8302370.678,3835
669,380251.6394,8302370.678,3835
670,380751.6394,8302370.678,3834
671,381251.6394,8302370.678,3837
672,381751.6394,8302370.678,3835
673,382251.6394,8302370.678,3837
674,382751.6394,8302370.678,3834
675,383251.6394,8302370.678,3838
676,383751.6394,8302370.678,3834
677,384251.6394,8302370.678,3834
678,384751.6394,8302370.678,3834
679,385251.6394,8302370.678,3832
680,385751.6394,8302370.678,3832
681,386251.6394,8302370.678,3833
682,386751.6394,8302370.678,3833
683,387251.6394,8302370.678,3835
684,387751.6394,8302370.678,3831
685,388251.6394,8302370.678,3829
686,388751.6394,8302370.678,3829
687,389251.6394,8302370.678,3832
688,389751.6394,8302370.678,3832
689,390251.6394,8302370.678,3876
690,390751.6394,8302370.678,3925
691,391251.6394,8302370.678,3915
692,391751.6394,8302370.678,3925
693,392251.6394,8302370.678,3954
694,392751.6394,8302370.678,3960
695,393251.6394,8302370.678,4022
696,393751.6394,8302370.678,4086
697,394251.6394,8302370.678,4017
698,394751.6394,8302370.678,3947
699,395251.6394,8302370.678,3872
700,395751.6394,8302370.678,3880
701,396251.6394,8302370.678,3863
702,396751.6394,8302370.678,3830
703,397251.6394,8302370.678,3825
704,397751.6394,8302370.678,3816
705,398251.6394,8302370.678,3817
706,398751.6394,8302370.678,3818
707,399251.6394,8302370.678,3818
708,399751.6394,8302370.678,3818
709,400251.6394,8302370.678,3817
710,400751.6394,8302370.678,3820
711,401251.6394,8302370.678,3820
712,362251.6394,8301870.678,4247
713,362751.6394,8301870.678,4187
714,363251.6394,8301870.678,4093
715,363751.6394,8301870.678,4029
716,364251.6394,8301870.678,4096
717,364751.6394,8301870.678,4175
718,365251.6394,8301870.678,4209
719,365751.6394,8301870.678,4085
720,366251.6394,8301870.678,3992
721,366751.6394,8301870.678,3906
722,367251.6394,8301870.678,3929
723,367751.6394,8301870.678,3943
724,368251.6394,8301870.678,4148
725,368751.6394,8301870.678,4172
726,369251.6394,8301870.678,4246
727,369751.6394,8301870.678,4406
728,370251.6394,8301870.678,4177
729,370751.6394,8301870.678,4132
730,371251.6394,8301870.678,4090
731,371751.6394,8301870.678,3979
732,372251.6394,8301870.678,3877
733,372751.6394,8301870.678,3838
734,373251.6394,8301870.678,3840
735,373751.6394,8301870.678,3836
736,374251.6394,8301870.678,3837
737,374751.6394,8301870.678,3836
738,375251.6394,8301870.678,3838
739,375751.6394,8301870.678,3841
740,376251.6394,8301870.678,3837
741,376751.6394,8301870.678,3835
742,377251.6394,8301870.678,3834
743,377751.6394,8301870.678,3833
744,378251.6394,8301870.678,3835
745,378751.6394,8301870.678,3834
746,379251.6394,8301870.678,3831
747,379751.6394,8301870.678,3834
748,380251.6394,8301870.678,3835
749,380751.6394,8301870.678,3833
750,381251.6394,8301870.678,3834
751,381751.6394,8301870.678,3834
752,382251.6394,8301870.678,3834
753,382751.6394,8301870.678,3833
754,383251.6394,8301870.678,3833
755,383751.6394,8301870.678,3835
756,384251.6394,8301870.678,3834
757,384751.6394,8301870.678,3831
758,385251.6394,8301870.678,3830
759,385751.6394,8301870.678,3830
760,386251.6394,8301870.678,3832
761,386751.6394,8301870.678,3826
762,387251.6394,8301870.678,3835
763,387751.6394,8301870.678,3833
764,388251.6394,8301870.678,3831
765,388751.6394,8301870.678,3826
766,389251.6394,8301870.678,3829
767,389751.6394,8301870.678,3831
768,390251.6394,8301870.678,3830
769,390751.6394,8301870.678,3872
770,391251.6394,8301870.678,3903
771,391751.6394,8301870.678,3948
772,392251.6394,8301870.678,3889
773,392751.6394,8301870.678,3925
774,393251.6394,8301870.678,3948
775,393751.6394,8301870.678,3999
776,394251.6394,8301870.678,3987
777,394751.6394,8301870.678,3929
778,395251.6394,8301870.678,3869
779,395751.6394,8301870.678,3850
780,396251.6394,8301870.678,3846
781,396751.6394,8301870.678,3828
782,397251.6394,8301870.678,3825
783,397751.6394,8301870.678,3819
784,398251.6394,8301870.678,3817
785,398751.6394,8301870.678,3820
786,399251.6394,8301870.678,3820
787,399751.6394,8301870.678,3818
788,400251.6394,8301870.678,3819
789,400751.6394,8301870.678,3818
790,401251.6394,8301870.678,3818
791,362251.6394,8301370.678,4218
792,362751.6394,8301370.678,4225
793,363251.6394,8301370.678,4124
794,363751.6394,8301370.678,4065
795,364251.6394,8301370.678,3981
796,364751.6394,8301370.678,4032
797,365251.6394,8301370.678,4185
798,365751.6394,8301370.678,4182
799,366251.6394,8301370.678,4040
800,366751.6394,8301370.678,3986
801,367251.6394,8301370.678,3879
802,367751.6394,8301370.678,3877
803,368251.6394,8301370.678,3988
804,368751.6394,8301370.678,4024
805,369251.6394,8301370.678,4237
806,369751.6394,8301370.678,4381
807,370251.6394,8301370.678,4376
808,370751.6394,8301370.678,4292
809,371251.6394,8301370.678,4227
810,371751.6394,8301370.678,4071
811,372251.6394,8301370.678,3959
812,372751.6394,8301370.678,3860
813,373251.6394,8301370.678,3839
814,373751.6394,8301370.678,3838
815,374251.6394,8301370.678,3840
816,374751.6394,8301370.678,3838
817,375251.6394,8301370.678,3837
818,375751.6394,8301370.678,3839
819,376251.6394,8301370.678,3837
